Facility Name,Site Address,Facility Type,Last Inspection Date,Inspection Result
Country Style and Race Trac,1417 Lakeshore Rd E Mississauga ON L5E 1G7,Food Take Out,2019-10-15,
Country Style/Mr. Sub,176 Main St S Brampton ON L6W 2C9,Food Take Out,,
Courtyard Marriott-Bistro,290 Derry Rd W. Mississauga ON L5W 1N6,Food Take Out,2019-07-11,
Cousins Foods - Food Take Out,1215 Hurontario St Mississauga ON L5G 3H2,Food Take Out,2020-01-23,
Credit Valley Hospital - Gino's Pizza,2200 Eglinton Ave W Mississauga ON L5M 2N1,Food Take Out,2020-03-06,
Credit Valley Hospital - Pita Lite,2200 Eglinton Ave W Mississauga ON L5M 2N1,Food Take Out,2020-03-06,
Credit Valley Hospital - Pumpernickel's,5-2200 Eglinton Ave W Mississauga ON L5M 2N1,Food Take Out,2020-03-06,
Credit Valley Hospital - Second Cup,2200 Eglinton Ave W Mississauga ON L5M 2N1,Food Take Out,2020-03-11,
Credit Valley Hospital - Tim Hortons - Maternity Kiosk,2Flr - DLV-2200 Eglinton Ave W Mississauga ON L5M 2N1,Food Take Out,2020-02-11,
Credit Valley Hospital - Tim Hortons - restaurant - 2/F,2Flr - 1-2200 Eglinton Ave W Mississauga ON L5M 2N1,Food Take Out,2020-02-11,
Credit Valley Hospital - Tim Hortons -Cancer Kiosk,1Flr - 9-2200 Eglinton Ave W Mississauga ON L5M 2N1,Food Take Out,2020-02-11,
Creditview Sandalwood Fieldhouse-Let's Play Cafe,10490 Creditview Rd Brampton ON L7A 0G2,Food Take Out,,
Creole Boucanier,5-71 Rosedale Ave W Brampton ON L6X 1K4,Food Take Out,2020-01-15,
Crepe de licious,741K-25 Peel Centre Dr Brampton ON L6T 3R5,Food Take Out,2020-01-09,
Crepe Delicious,2-308-100 City Centre Dr Mississauga ON,Food Take Out,2020-01-24,
Crepes De luxe,1N005-5100 Erin Mills Pkwy Mississauga ON L5M 4Z5,Food Take Out,2019-10-09,
Croatia Meats,C-1B-918 Dundas St E Mississauga ON L4Y 4H9,Food Take Out,2019-11-29,
Cultures,1-826-100 City Centre Dr Mississauga ON,Food Take Out,2019-11-13,
Curries 'N' More,112-7215 Goreway Dr Mississauga ON,Food Take Out,2020-02-11,
D Anthony Restaurant Takeout and Catering,137 Inspire Blvd Brampton ON L6R 3X9,Food Take Out,2020-02-20,
Daddy's Jerk Caribbean Restaurant,15-545 Steeles Ave W Brampton ON L6Y 4E7,Food Take Out,2019-11-07,
Dainty Deli,17-18-3643 Cawthra Rd Mississauga ON L5A 2Y4,Food Take Out,2020-02-10,
Dairy Cream,715 Lakeshore Rd E Mississauga ON L5G 1J7,Food Take Out,2019-10-11,
Dairy Queen,104-9715 James Potter Rd Brampton ON L6X 3B9,Food Take Out,2019-12-04,
Dairy Queen,2-915 Rathburn Rd E Mississauga ON L4W 0E5,Food Take Out,2020-03-09,
Dairy Queen Orange Julius,E1-5618 Tenth Line W Mississauga ON L5J 8W8,Food Take Out,2020-03-10,
Dairy Queen/Orange Julius,5100 Erin Mills Pky Mississauga ON L5M 4Z5,Food Take Out,2020-02-14,
Dairy Queen/Orange Julius,2-102-100 City Centre Dr Mississauga ON L5B 2C9,Food Take Out,2019-11-14,
