Community,Facility Name,Inspection Outcome,Last Inspection Date,Site Address
Carden Township,CARDEN TOWNSHIP RECREATION CENTRE,,,258 DALRYMPLE RD SEBRIGHT ON L0K 1W0
Cardiff Township,CARDIFF COMMUNITY CENTRE,,12-Jan-2021,2747 MONCK RD CARDIFF ON K0L 1M0
Cardiff Township,CARDIFF COMMUNITY FOOD BANK,,12-Jan-2021,2778 MONCK RD CARDIFF ON K0L 1M0
Cardiff Township,CARDIFF COUNTRY STORE - SUPERMARKET,,12-Jan-2021,23233 HWY 118 CARDIFF ON K0L 1M0
Cardiff Township,CARDIFF ELEMENTARY SCHOOL,,,2 SHORT RD CARDIFF ON K0L 1M0
Ops Township,CARDINAL 18 GOLF CLUB,,,935 ELM TREE RD LITTLE BRITAIN ON K0M 2C0
Lindsay,CARESSANT CARE - RETIREMENT HOME,,18-Nov-2020,240 MARY ST W LINDSAY ON K9V 5K5
Lindsay,CARESSANT CARE LONG TERM CARE,,18-Nov-2020,240 MARY ST W LINDSAY ON K9V 5K5
Lindsay,CARESSANT CARE MCLAUGHLIN,,16-Nov-2020,114 MCLAUGHLIN RD LINDSAY ON K9V 6L1
Fenelon Township,CARLS AUTO SERVICE TAKE OUT,,,5578 HWY 35 N FENELON FALLS ON K0M 1N0
Port Hope Municipality,CARLYLE INN & BISTRO,,01-Oct-2020,86 JOHN ST PORT HOPE ON L1A 2J2
Minden,CARNARVON CONVENIENCE,,20-Apr-2020,9151 HWY 118 CARNARVON ON K0M 1J0
Fenelon Township,CARSON'S COUNTRY CUPBOARD,,,9 MAY ST FENELON FALLS ON K0M 1N0
Bobcaygeon Village,CASE MANOR,,06-Feb-2020,28 BOYD ST BOBCAYGEON ON K0M 1A0
Dysart Township,CASTLE ANTIQUES & CAFE,,08-Jun-2020,223 HIGHLAND ST HALIBURTON ON K0M 1S0
Cobourg,CASTLE JOHN'S PUB AND RESTAURANT,,02-Dec-2020,139-900 DIVISION ST COBOURG ON K9A 5V2
Castleton,CASTLETON GENERAL STORE,,,1768 PERCY ST CASTLETON ON K0K 1M0
Castleton,CASTLETON HILLS TRAILER PARK,,,103 PARK RD CASTLETON ON K0K 1M0
Castleton,CASTLETON SPORTS CLUB,,,150 CEMETERY RD CASTLETON ON K0K 1M0
Castleton,CASTLETON UNITED CHURCH,,,1815 PERCY ST CASTLETON ON K0K 1M0
Cobourg,CAT AND FIDDLE,,,38 COVERT ST COBOURG ON K9A 2L6
Lindsay,CAT AND THE FIDDLE,,11-Feb-2021,49 WILLIAM ST N LINDSAY ON K9V 1Z9
Bobcaygeon Village,CAYGEON CHICKEN TAKE-OUT,,,36 KING ST E BOBCAYGEON ON K0M 1A0
